hgnc_symbol 	& d_genes 	& n_pathways 	& expression_ant 	& expression_post 	& t_test \\
IRF3 	& 0.11 	& 13(1) 	& 1.2 	& 1.22 	& 0.188 \\
MADD 	& 0.11 	& 4(2) 	& 1.33 	& 1.35 	& 0.0783 \\
CLTC 	& 0.11 	& 11(6) 	& 1.45 	& 1.44 	& 0.0373 \\
PAK3 	& 0.11 	& 9(1) 	& 1.28 	& 1.3 	& 0.366 \\
APOC1 	& 0.11 	& 3(1) 	& 1.31 	& 1.35 	& 0.273 \\
RAB8B 	& 0.11 	& 3(1) 	& 1.15 	& 1.17 	& 0.0427 \\
LARS 	& 0.11 	& 3(2) 	& 1.33 	& 1.31 	& 0.0541 \\
ABCB6 	& 0.11 	& 1(1) 	& 1.13 	& 1.12 	& 0.981 \\
SERINC5 	& 0.11 	& 1(1) 	& 1.2 	& 1.22 	& 0.105 \\
PLCB3 	& 0.1 	& 4(3) 	& 1.17 	& 1.18 	& 0.0276 \\
FARSB 	& 0.1 	& 2(2) 	& 1.27 	& 1.23 	& 0.215 \\
CHST1 	& 0.1 	& 2(2) 	& 1.2 	& 1.25 	& 0.0291 \\
PLD3 	& 0.1 	& 1(1) 	& 1.46 	& 1.47 	& 0.0191 \\
UBC 	& 0.1 	& 145(17) 	& 1.22 	& 1.22 	& 0.159 \\
NFIB 	& 0.1 	& 1(1) 	& 1.24 	& 1.19 	& 0.0252 \\
GNA12 	& 0.1 	& 1(1) 	& 1.25 	& 1.27 	& 0.157 \\
CD4 	& 0.1 	& 13(1) 	& 1.1 	& 1.18 	& 0.436 \\
MAPK3 	& 0.1 	& 42(9) 	& 1.29 	& 1.3 	& 0.483 \\
ICMT 	& 0.1 	& 1(1) 	& 1.2 	& 1.22 	& 0.162 \\
SPCS2 	& 0.1 	& 4(3) 	& 1.42 	& 1.4 	& 0.272 \\
NARS2 	& 0.1 	& 2(2) 	& 1.12 	& 1.09 	& 0.0802 \\
STAT3 	& 0.1 	& 16(4) 	& 1.3 	& 1.36 	& 0.62 \\
GNAZ 	& 0.1 	& 3(2) 	& 1.21 	& 1.22 	& 0.188 \\
ALG9 	& 0.1 	& 2(1) 	& 1.14 	& 1.13 	& 0.0107 \\
CACNG4 	& 0.1 	& 5(2) 	& 1.34 	& 1.37 	& 0.445 \\
SSB 	& 0.1 	& 1(1) 	& 1.33 	& 1.29 	& 0.0358 \\
GART 	& 0.1 	& 2(2) 	& 1.22 	& 1.17 	& 0.0135 \\
BCAT1 	& 0.1 	& 1(1) 	& 1.23 	& 1.23 	& 0.222 \\
SNAP29 	& 0.09 	& 1(1) 	& 1.14 	& 1.15 	& 0.17 \\
PPP2R2A 	& 0.09 	& 3(1) 	& 1.18 	& 1.16 	& 0.422 \\
VPS45 	& 0.09 	& 1(1) 	& 1.22 	& 1.22 	& 0.454 \\
QTRT1 	& 0.09 	& 1(1) 	& 1.3 	& 1.28 	& 0.276 \\
TAF1D 	& 0.09 	& 5(2) 	& 1.23 	& 1.17 	& 0.139 \\
RNF139 	& 0.09 	& 3(2) 	& 1.14 	& 1.13 	& 0.0622 \\
PIP4K2B 	& 0.09 	& 4(2) 	& 1.39 	& 1.42 	& 0.0139 \\
IKBKG 	& 0.09 	& 28(7) 	& 1.13 	& 1.11 	& 0.221 \\
SLC4A8 	& 0.09 	& 1(1) 	& 1.23 	& 1.26 	& 0.739 \\
MGAT4B 	& 0.09 	& 2(2) 	& 1.25 	& 1.28 	& 0.0203 \\
NEFL 	& 0.09 	& 5(4) 	& 1.28 	& 1.3 	& 0.721 \\
CACNA1E 	& 0.09 	& 1(1) 	& 1.12 	& 1.15 	& 0.826 \\
PHF20 	& 0.09 	& 4(1) 	& 1.22 	& 1.2 	& 0.0133 \\
MGAT4A 	& 0.09 	& 2(1) 	& 1.18 	& 1.21 	& 0.0408 \\
KIF21A 	& 0.09 	& 2(2) 	& 1.36 	& 1.34 	& 0.849 \\
SMPD1 	& 0.09 	& 2(2) 	& 1.11 	& 1.12 	& 0.0869 \\
PFAS 	& 0.09 	& 2(2) 	& 1.23 	& 1.2 	& 0.0694 \\
PAFAH1B2 	& 0.09 	& 1(1) 	& 1.26 	& 1.26 	& 0.64 \\
YKT6 	& 0.09 	& 2(2) 	& 1.28 	& 1.28 	& 0.583 \\
ARF5 	& 0.09 	& 1(1) 	& 1.39 	& 1.38 	& 0.0139 \\
EEF2K 	& 0.09 	& 1(1) 	& 1.17 	& 1.16 	& 0.511 \\
SLC25A37 	& 0.09 	& 1(1) 	& 1.21 	& 1.2 	& 0.0807 \\
MTMR2 	& 0.09 	& 3(1) 	& 1.18 	& 1.16 	& 0.0241 \\
PPCS 	& 0.09 	& 1(1) 	& 1.19 	& 1.2 	& 0.819 \\
HMBS 	& 0.09 	& 2(2) 	& 1.12 	& 1.1 	& 0.972 \\
MAPK1 	& 0.09 	& 41(5) 	& 1.39 	& 1.42 	& 0.624 \\
CPSF6 	& 0.09 	& 4(1) 	& 1.39 	& 1.37 	& 0.0326 \\
TCEA1 	& 0.08 	& 5(3) 	& 1.37 	& 1.34 	& 0.0188 \\
NPC1 	& 0.08 	& 3(1) 	& 1.14 	& 1.16 	& 0.214 \\
NRAS 	& 0.08 	& 54(2) 	& 1.23 	& 1.24 	& 0.013 \\
PIGG 	& 0.08 	& 2(1) 	& 1.18 	& 1.16 	& 0.965 \\
ORAI2 	& 0.08 	& 4(1) 	& 1.27 	& 1.3 	& 0.835 \\
DLAT 	& 0.08 	& 5(3) 	& 1.14 	& 1.14 	& 0.0316 \\
TPP1 	& 0.08 	& 1(1) 	& 1.23 	& 1.24 	& 0.0477 \\
STAT1 	& 0.08 	& 11(2) 	& 1.25 	& 1.27 	& 0.367 \\
NCOA1 	& 0.08 	& 13(2) 	& 1.22 	& 1.24 	& 0.0265 \\
EXOSC7 	& 0.08 	& 8(2) 	& 1.22 	& 1.18 	& 0.0234 \\
SLC25A29 	& 0.08 	& 1(1) 	& 1.34 	& 1.33 	& 0.0277 \\
IARS 	& 0.08 	& 3(1) 	& 1.32 	& 1.27 	& 0.0349 \\
PLEKHA6 	& 0.08 	& 2(1) 	& 1.33 	& 1.35 	& 0.185 \\
PPP2R5D 	& 0.08 	& 22(1) 	& 1.18 	& 1.18 	& 0.115 \\
IDH3B 	& 0.08 	& 2(1) 	& 1.32 	& 1.3 	& 0.219 \\
BLVRA 	& 0.08 	& 1(1) 	& 1.27 	& 1.26 	& 0.0943 \\
TPM1 	& 0.08 	& 2(1) 	& 1.37 	& 1.4 	& 0.0118 \\
SLC37A4 	& 0.08 	& 4(2) 	& 1.16 	& 1.14 	& 0.286 \\
COL9A2 	& 0.08 	& 8(2) 	& 1.08 	& 1.13 	& 0.136 \\
CNIH2 	& 0.08 	& 2(2) 	& 1.18 	& 1.17 	& 0.0447 \\
FXYD6 	& 0.08 	& 2(1) 	& 1.43 	& 1.45 	& 0.444 \\
SDHA 	& 0.08 	& 2(1) 	& 1.27 	& 1.26 	& 0.864 \\
CNTN1 	& 0.08 	& 2(1) 	& 1.37 	& 1.41 	& 0.0139 \\
DCTN3 	& 0.08 	& 7(4) 	& 1.41 	& 1.41 	& 0.849 \\
DNM2 	& 0.08 	& 5(1) 	& 1.27 	& 1.27 	& 0.234 \\
SDK1 	& 0.08 	& 2(2) 	& 1.21 	& 1.26 	& 0.0424 \\
IMPDH2 	& 0.08 	& 2(2) 	& 1.38 	& 1.32 	& 0.136 \\
MAPK8 	& 0.08 	& 16(3) 	& 1.31 	& 1.31 	& 0.0101 \\
CALM2 	& 0.08 	& 31(3) 	& 1.63 	& 1.65 	& 0.259 \\
DARS 	& 0.08 	& 3(1) 	& 1.26 	& 1.23 	& 0.107 \\
RHOC 	& 0.08 	& 5(1) 	& 1.27 	& 1.32 	& 0.0113 \\
SUCLA2 	& 0.08 	& 2(2) 	& 1.2 	& 1.19 	& 0.0761 \\
TRAPPC6B 	& 0.08 	& 2(1) 	& 1.17 	& 1.15 	& 0.0131 \\
PTPN1 	& 0.08 	& 6(1) 	& 1.23 	& 1.21 	& 0.993 \\
ILK 	& 0.08 	& 2(1) 	& 1.29 	& 1.29 	& 0.578 \\
CEP57 	& 0.07 	& 5(1) 	& 1.22 	& 1.21 	& 0.0772 \\
NNT 	& 0.07 	& 2(2) 	& 1.25 	& 1.23 	& 0.0995 \\
DUSP16 	& 0.07 	& 2(1) 	& 1.25 	& 1.26 	& 0.0867 \\
RAF1 	& 0.07 	& 13(2) 	& 1.23 	& 1.22 	& 0.178 \\
SLIT1 	& 0.07 	& 2(2) 	& 1.23 	& 1.21 	& 0.0273 \\
HDAC3 	& 0.07 	& 8(1) 	& 1.24 	& 1.24 	& 0.111 \\
GDI1 	& 0.07 	& 1(1) 	& 1.49 	& 1.48 	& 0.0117 \\
COG1 	& 0.07 	& 2(1) 	& 1.21 	& 1.2 	& 0.0568 \\
LPCAT3 	& 0.07 	& 3(1) 	& 1.11 	& 1.12 	& 0.588 \\
STIM1 	& 0.07 	& 4(1) 	& 1.16 	& 1.17 	& 0.175 \\
ARHGEF4 	& 0.07 	& 3(1) 	& 1.12 	& 1.12 	& 0.254 \\
MAP2K1 	& 0.07 	& 18(2) 	& 1.18 	& 1.2 	& 0.174 \\
TAB3 	& 0.07 	& 14(1) 	& 1.16 	& 1.15 	& 0.834 \\
VAMP8 	& 0.07 	& 5(1) 	& 1.16 	& 1.19 	& 0.156 \\
POLR2E 	& 0.07 	& 26(1) 	& 1.25 	& 1.22 	& 0.0433 \\
ADAM10 	& 0.07 	& 7(1) 	& 1.23 	& 1.23 	& 0.245 \\
LIMK2 	& 0.07 	& 2(1) 	& 1.18 	& 1.21 	& 0.741 \\
CNTN2 	& 0.07 	& 2(1) 	& 1.15 	& 1.17 	& 0.457 \\
ABAT 	& 0.07 	& 2(1) 	& 1.28 	& 1.25 	& 0.126 \\
PPP2CA 	& 0.07 	& 37(1) 	& 1.33 	& 1.32 	& 0.0823 \\
LIMK1 	& 0.07 	& 3(2) 	& 1.21 	& 1.23 	& 0.842 \\
PYGO2 	& 0.07 	& 1(1) 	& 1.23 	& 1.23 	& 0.37 \\
RAE1 	& 0.07 	& 23(1) 	& 1.28 	& 1.25 	& 0.507 \\
DYNLL2 	& 0.07 	& 5(2) 	& 1.64 	& 1.65 	& 0.568 \\
SORT1 	& 0.07 	& 2(1) 	& 1.24 	& 1.24 	& 0.0713 \\
CS 	& 0.07 	& 2(1) 	& 1.38 	& 1.36 	& 0.382 \\
CTSA 	& 0.07 	& 5(2) 	& 1.23 	& 1.23 	& 0.57 \\
NECAP1 	& 0.07 	& 3(1) 	& 1.24 	& 1.26 	& 0.0175 \\
CDH24 	& 0.07 	& 2(1) 	& 1.28 	& 1.29 	& 0.116 \\
ACE 	& 0.07 	& 1(1) 	& 1.15 	& 1.18 	& 0.583 \\
DLD 	& 0.07 	& 9(1) 	& 1.24 	& 1.22 	& 0.601 \\
KLC2 	& 0.06 	& 3(1) 	& 1.24 	& 1.23 	& 0.0152 \\
CD59 	& 0.06 	& 4(2) 	& 1.48 	& 1.48 	& 0.311 \\
LEO1 	& 0.06 	& 3(1) 	& 1.16 	& 1.12 	& 0.195 \\
RRAS 	& 0.06 	& 3(2) 	& 1.1 	& 1.13 	& 0.232 \\
PRKAR2B 	& 0.06 	& 12(1) 	& 1.24 	& 1.27 	& 0.959 \\
BRAF 	& 0.06 	& 20(2) 	& 1.19 	& 1.19 	& 0.0157 \\
ADD2 	& 0.06 	& 1(1) 	& 1.35 	& 1.35 	& 0.0514 \\
GAB2 	& 0.06 	& 10(1) 	& 1.32 	& 1.37 	& 0.0475 \\
CAMKK1 	& 0.06 	& 1(1) 	& 1.15 	& 1.19 	& 0.1 \\
POLR2F 	& 0.06 	& 26(1) 	& 1.17 	& 1.14 	& 0.611 \\
